"","GBMvsASTRO","GBMvsOLIGO","ASTROvsOLIGO","GBM","LGG"
"cg14852134","NO",NA,"DOWN",0.01,0
"cg19809499","UP","NO","DOWN",0,0
"cg00884093","NO",NA,"NO",0,0
"cg19544662","UP",NA,"DOWN",0,0
"cg17203063","NO","NO","DOWN",0.871,0.818
"cg02884176","UP","NO","NO",0,0
"cg06341513","NO","NO","DOWN",0.293,0.136
"cg25958283","NO",NA,"NO",0.32,0.158
"cg24033330","UP","NO","NO",0,0
"cg07850527","UP","NO","DOWN",0,0
"cg02145932","UP",NA,"NO",0,0
"cg12664209","UP",NA,"DOWN",0,0
"cg10192893","NO","NO","NO",0,0
"cg09491991","UP",NA,"DOWN",0,0
"cg26322248","NO","NO","NO",0,0
"cg24826867","UP","NO","NO",0,0
"cg18815943","UP",NA,"NO",0.001,0
"cg25796439","UP",NA,"DOWN",0,0
"cg14060111","UP",NA,"DOWN",0,0
"cg01532168","UP","NO","NO",0,0
"cg18301891","UP","NO","NO",0,0
"cg06262436","UP",NA,"DOWN",0,0
"cg21561970","UP","NO","NO",0,0
"cg08304190","UP","NO","NO",0,0
"cg24416513","UP","NO","NO",0,0
"cg24718971","NO","NO","NO",0,0
"cg11410023","UP","NO","NO",0.002,0
"cg27579953","NO","NO","NO",0.499,0.338
"cg12450347","NO","NO","DOWN",0.366,0.199
"cg09656848","NO",NA,"NO",0.081,0.013
"ENSG00000162711","NO","NO","UP",0.83,0.76
"ENSG00000174004","NO","NO","UP",0.597,0.454
"ENSG00000120594","NO","NO","UP",0.201,0.07
"ENSG00000182578","NO","UP","UP",0.272,0.119
"ENSG00000123095","NO","NO","NO",0.117,0.026
"ENSG00000087253","NO","UP","UP",0,0
"ENSG00000142583","NO","UP","UP",0.001,0
"ENSG00000169252","NO","NO","NO",0.001,0
"ENSG00000182557","NO","NO","UP",0.495,0.333
"ENSG00000148908","NO","UP","UP",0.015,0.001
"ENSG00000105122","NO","UP","UP",0.001,0
"ENSG00000181631","NO","NO","UP",0.301,0.142
"ENSG00000042980","NO","UP","UP",0.074,0.011
"ENSG00000198223","NO","UP","UP",0.043,0.004
"ENSG00000110876","NO","NO","UP",0.092,0.017
"ENSG00000185811","NO","UP","UP",0.001,0
"ENSG00000169896","NO","UP","UP",0,0
"ENSG00000184574","NO","UP","UP",0,0
"ENSG00000140968","NO","UP","UP",0.073,0.011
"ENSG00000165025","NO","UP","UP",0,0
"ENSG00000023892","NO","UP","UP",0,0
"ENSG00000128815","NO","UP","UP",0.18,0.057
"ENSG00000129667","NO","UP","UP",0,0
"ENSG00000134516","NO","UP","UP",0,0
"ENSG00000137841","NO","NO","UP",0.004,0
"ENSG00000165685","NO","UP","UP",0,0
"ENSG00000183160","NO","UP","UP",0,0
"ENSG00000077420","NO","UP","UP",0,0
"ENSG00000095585","NO","UP","UP",0.001,0
"ENSG00000104043","NO","NO","NO",0.016,0.001
