"","GBMvsASTRO","GBMvsOLIGO","ASTROvsOLIGO","GBM","LGG"
"cg24041541","DOWN","DOWN",NA,0,0
"cg19070139","DOWN","DOWN",NA,0,0
"cg13727691","DOWN","DOWN",NA,0,0
"cg20826224","DOWN","DOWN",NA,0,0
"cg12630147","DOWN","DOWN",NA,0,0
"cg05163329","DOWN","DOWN",NA,0,0
"cg25604326","DOWN","DOWN",NA,0,0
"cg16590910","DOWN","DOWN",NA,0,0
"cg01764954","DOWN","DOWN",NA,0,0
"cg03974423","DOWN","DOWN",NA,0,0
"cg00428601","DOWN","DOWN",NA,0,0
"cg21174055","DOWN","DOWN",NA,0,0
"cg12604950","DOWN","DOWN",NA,0,0
"cg18276016","DOWN","DOWN",NA,0,0
"cg03609308","DOWN","DOWN","NO",0,0
"cg19113375","DOWN","DOWN",NA,0,0
"cg01818121","DOWN","DOWN",NA,0,0
"cg22230604","DOWN","DOWN","NO",0,0
"cg20525712","DOWN","DOWN","NO",0,0
"cg16483867","DOWN","DOWN",NA,0,0
"cg01338255","DOWN","DOWN",NA,0,0
"cg01843034","DOWN","DOWN",NA,0,0
"cg19998675","DOWN","DOWN","NO",0,0
"cg22451910","DOWN","DOWN","NO",0,0
"cg01118078","DOWN","DOWN",NA,0,0
"cg12907983","DOWN","DOWN",NA,0,0
"cg21940568","DOWN","DOWN","NO",0,0
"cg26448489","DOWN","DOWN",NA,0,0
"cg08409074","DOWN","DOWN",NA,0,0
"cg25251738","DOWN","DOWN","NO",0,0
"ENSG00000269190","UP","UP","NO",0,0
"ENSG00000106538","UP","UP","NO",0,0
"ENSG00000109944","UP","UP","NO",0,0
"ENSG00000234465","UP","UP","NO",0,0
"ENSG00000161798","UP","UP","NO",0,0
"ENSG00000173040","UP","UP","NO",0,0
"ENSG00000158156","UP","UP","NO",0,0
"ENSG00000141198","UP","UP","NO",0,0
"ENSG00000172638","UP","UP","NO",0,0
"ENSG00000114115","UP","UP","NO",0,0
"ENSG00000169515","UP","UP","NO",0,0
"ENSG00000164687","UP","UP","NO",0,0
"ENSG00000125845","DOWN","DOWN","NO",0,0
"ENSG00000165118","UP","UP","NO",0,0
"ENSG00000104611","UP","UP","NO",0,0
"ENSG00000044090","UP","UP","NO",0,0
"ENSG00000196503","UP","UP","NO",0,0
"ENSG00000154240","UP","UP","NO",0,0
"ENSG00000255150","UP","UP","NO",0,0
"ENSG00000109113","UP","UP","NO",0,0
"ENSG00000100228","UP","UP","NO",0,0
"ENSG00000142227","UP","UP","NO",0,0
"ENSG00000138771","UP","UP","NO",0,0
"ENSG00000215845","UP","UP","NO",0,0
"ENSG00000119431","UP","UP","NO",0,0
"ENSG00000164309","UP","UP","NO",0,0
"ENSG00000168140","UP","UP","NO",0,0
"ENSG00000164327","DOWN","DOWN","NO",0,0
"ENSG00000012211","UP","UP","NO",0,0
"ENSG00000165406","DOWN","DOWN","NO",0,0
